País,Oro,Plata,Bronce,Total
1Estados Unidos,27,35,32,94
2China,25,23,17,65
3Australia,18,12,11,41
4Francia,13,17,21,51
5Reino Unido,12,17,20,49
6Corea del Sur,12,8,7,27
7Japón,12,6,13,31
8Italia,9,10,8,27
9Países Bajos,9,5,6,20
10Alemania,8,5,5,18
11Canadá,6,4,9,19
12Irlanda,4,0,3,7
13Nueva Zelanda,3,6,1,10
14Rumania,3,4,1,8
15Suecia,3,3,2,8
16Hungría,3,3,2,8
17Ucrania,3,2,3,8
18Brasil,2,5,7,14
19Espańa,2,3,6,11
20Croacia,2,1,3,6
21Cuba,2,1,2,5
22Azerbaiyán,2,1,0,3
23Bélgica,2,0,3,5
24Hong Kong,2,0,2,4
25Filipinas,2,0,2,4
26Serbia,2,0,0,2
27Israel,1,4,1,6
28Kazajistán,1,3,3,7
29Jamaica,1,3,1,5
30Atletas Individuales Neutrales,1,3,0,4
31Suiza,1,2,4,7
32Tailandia,1,2,2,5
33Georgia,1,2,1,4
34Dinamarca,1,2,0,3
35Grecia,1,1,5,7
36Polonia,1,1,4,6
37Kenia,1,1,3,5
38República de Sudáfrica,1,1,2,4
39Chile,1,1,0,2
40Ecuador,1,1,0,2
41Uganda,1,1,0,2
42Santa Lucía,1,1,0,2
43Taiwán,1,0,4,5
44Uzbekistán,1,0,2,3
45Irán,1,0,2,3
46Guatemala,1,0,1,2
47República Checa,1,0,1,2
48Noruega,1,0,1,2
49Eslovenia,1,0,0,1
50Argentina,1,0,0,1
51Dominica,1,0,0,1
52Argelia,1,0,0,1
53Bahrein,1,0,0,1
54Marruecos,1,0,0,1
55Corea del Norte,0,2,3,5
56México,0,2,1,3
57Armenia,0,2,1,3
58Etiopía,0,2,0,2
59Turquía,0,1,3,4
60Kirguizistán,0,1,3,4
61Lituania,0,1,2,3
62Túnez,0,1,1,2
63Kosovo,0,1,1,2
64Mongolia,0,1,0,1
65Fiyi,0,1,0,1
66Colombia,0,1,0,1
67Chipre,0,1,0,1
68India,0,0,3,3
69Tayikistán,0,0,3,3
70Moldavia,0,0,2,2
71República Dominicana,0,0,2,2
72Malasia,0,0,2,2
73Egipto,0,0,1,1
74Eslovaquia,0,0,1,1
75Austria,0,0,1,1
76Portugal,0,0,1,1
77Grenada,0,0,1,1
78Cabo Verde,0,0,1,1
79Indonesia,0,0,1,1
80Perú,0,0,1,1
81Zambia,0,0,1,1
82Bulgaria,0,0,0,0
83Catar,0,0,0,0
84Bahamas,0,0,0,0
85Bielorrusia,0,0,0,0
86Venezuela,0,0,0,0
87Estonia,0,0,0,0
88Letonia,0,0,0,0
89Bermudas,0,0,0,0
90Puerto Rico,0,0,0,0
91San Marino,0,0,0,0
92Jordania,0,0,0,0
93Nigeria,0,0,0,0
94Turkmenistán,0,0,0,0
95Macedonia,0,0,0,0
96Namibia,0,0,0,0
97Arabia Saudí,0,0,0,0
98Finlandia,0,0,0,0
99Kuwait,0,0,0,0
100Costa de Marfil,0,0,0,0
101Ghana,0,0,0,0
102Siria,0,0,0,0
103Burkina Faso,0,0,0,0
104Botswana,0,0,0,0
